Parcel Unit,Parcel Number,Landlord License Year,Parcel Address,Latitude,Longitude,Location,Parcel City,Location (state),Location (zip),Zip Code Boundaries,2010 Census Tracts,Commission Districts,Gainesville Police Districts,Florida Census Zip Codes
06398-032-000-1,06398-032-000,2019,03825 NW 14TH  PL,29.665536,-82.381663,POINT (-82.381663 29.665536),GAINESVILLE,FL,32605,5,35,3,6,770
05979-054-000-1,05979-054-000,2015,8630 NW 38TH  CIR,,,,GAINESVILLE,FL,32653,,,,,
05977-301-000-1,05977-301-000,2017,8563 NW 40TH  TER,,,,GAINESVILLE,FL,32653,,,,,
05977-319-000-1,05977-319-000,2015,8639 NW 41ST  ST,,,,GAINESVILLE,FL,32653,,,,,
06484-086-000-1,06484-086-000,2019,00118 NW 36TH  DR,29.653316,-82.378254,POINT (-82.378254 29.653316),GAINESVILLE,FL,32607,7,27,3,6,768
08276-002-000-1,08276-002-000,2015,03315 NW 11TH  ST,,,,GAINESVILLE,FL,32609,,,,,
06484-050-000-1,06484-050-000,2019,00507 NW 36TH  TER,29.655487,-82.37745,POINT (-82.37745 29.655486999999997),GAINESVILLE,FL,32607,7,27,3,6,768
05977-005-014-1,05977-005-014,2015,8517 NW 37TH  TER,,,,GAINESVILLE,FL,32653,,,,,
05977-314-000-1,05977-314-000,2017,4117 NW 85TH  PL,,,,GAINESVILLE,FL,32653,,,,,
05977-220-000-1,05977-220-000,2019,8823 NW 40TH  CIR,,,,GAINESVILLE,FL,32653,,,,,
05979-200-000-1,05979-200-000,2015,9136 NW 37TH  CIR,,,,GAINESVILLE,FL,32653,,,,,
05979-095-000-1,05979-095-000,2014,8476 NW 37TH  DR,,,,GAINESVILLE,FL,32653,,,,,
05977-356-000-1,05977-356-000,2019,4190 NW 85TH  PL,,,,GAINESVILLE,FL,32653,,,,,
06528-040-000-1,06528-040-000,2019,03930 SW 2ND  AVE,29.650484,-82.383849,POINT (-82.383849 29.650484),GAINESVILLE,FL,32607,7,33,3,6,768
06535-039-000-1,06535-039-000,2019,03941 SW 5TH  PL,29.647243,-82.384119,POINT (-82.384119 29.647243000000003),GAINESVILLE,FL,32607,7,33,3,6,768
09204-000-000-1,09204-000-000,2019,00860 NW 20TH  ST,29.660394,-82.349298,POINT (-82.349298 29.660394),GAINESVILLE,FL,32603,3,16,4,4,771
15728-010-000-1,15728-010-000,2019,929 SE 9TH  ST,29.642678,-82.31513,POINT (-82.31513 29.642678),GAINESVILLE,FL,32601,1,5,1,1,772
08103-000-000-1,08103-000-000,2019,01201 NW 44TH  AVE,29.694553,-82.337081,POINT (-82.337081 29.694553),GAINESVILLE,FL,32609,4,3,1,4,766
06462-043-000-1,06462-043-000,2019,00016 NW 29TH  ST,29.65286,-82.36638,POINT (-82.36638 29.65286),GAINESVILLE,FL,32607,7,16,3,6,768
15343-000-000-1,15343-000-000,2019,01615 NW 7TH  AVE,29.657553,-82.343658,POINT (-82.343658 29.657553),GAINESVILLE,FL,32603,3,16,4,1,771
15066-000-000-1,15066-000-000,2019,01914 NW 4TH  AVE,29.654874,-82.348293,POINT (-82.348293 29.654874),GAINESVILLE,FL,32603,3,16,4,6,771
09564-000-000-1,09564-000-000,2019,01004 NW 15TH  AVE,29.665742,-82.335358,POINT (-82.335358 29.665742),GAINESVILLE,FL,32601,1,2,4,4,772
06410-009-000-1,06410-009-000,2019,02007 NW 36TH  TER,29.671581,-82.377041,POINT (-82.377041 29.671580999999996),GAINESVILLE,FL,32605,5,8,3,6,770
15075-001-000-1,15075-001-000,2019,02002 NW 3RD  AVE,29.654012,-82.349471,POINT (-82.349471 29.654011999999998),GAINESVILLE,FL,32603,3,16,4,6,771
15076-000-000-1,15076-000-000,2019,02008 NW 3RD  AVE,29.654019,-82.349637,POINT (-82.349637 29.654019),GAINESVILLE,FL,32603,3,16,4,6,771
15435-000-000-1,15435-000-000,2019,02016 NW 7TH  PL,29.658493,-82.35005,POINT (-82.35005 29.658493),GAINESVILLE,FL,32603,3,16,4,6,771
07916-012-000-1,07916-012-000,2019,04025 NW 20TH  TER,29.69054,-82.349786,POINT (-82.349786 29.690540000000002),GAINESVILLE,FL,32605,5,9,2,4,770
06484-073-000-1,06484-073-000,2019,00217 NW 36TH  TER,29.65386,-82.377446,POINT (-82.377446 29.65386),GAINESVILLE,FL,32607,7,27,3,6,768
06484-088-000-1,06484-088-000,2019,00107 NW 36TH  DR,29.653008,-82.378251,POINT (-82.378251 29.653008),GAINESVILLE,FL,32607,7,27,3,6,768
06088-005-008-1,06088-005-008,2019,02630 NW 27TH  TER,29.676441,-82.362958,POINT (-82.362958 29.676441000000004),GAINESVILLE,FL,32605,5,8,2,7,770
10603-025-000-1,10603-025-000,2019,01128 NE 22ND  AVE,29.673022,-82.310768,POINT (-82.31076800000001 29.673022000000003),GAINESVILLE,FL,32609,4,12,2,2,766
06006-064-085-1,06006-064-085,2019,04728 NW 77TH  RD,29.725627,-82.393796,POINT (-82.393796 29.725627),GAINESVILLE,FL,32653,10,40,2,5,1079
06385-020-001-1,06385-020-001,2019,04002 NW 8TH  AVE,29.659562,-82.384719,POINT (-82.384719 29.659562000000005),GAINESVILLE,FL,32605,5,35,3,6,768
06006-064-089-1,06006-064-089,2019,04816 NW 77TH  RD,29.725638,-82.394493,POINT (-82.394493 29.725638),GAINESVILLE,FL,32653,10,40,2,5,1079
08964-005-001-1,08964-005-001,2019,03505 NW 17TH  ST,29.684904,-82.344724,POINT (-82.344724 29.684904),GAINESVILLE,FL,32605,5,9,2,4,770
06006-065-103-1,06006-065-103,2019,04721 NW 78TH  RD,29.726295,-82.393847,POINT (-82.393847 29.726295),GAINESVILLE,FL,32653,10,40,2,5,1079
06006-064-084-1,06006-064-084,2019,04718 NW 77TH  RD,29.725625,-82.393666,POINT (-82.393666 29.725624999999997),GAINESVILLE,FL,32653,10,40,2,5,1079
06006-066-141-1,06006-066-141,2019,07855 NW 47TH  WAY,29.726734,-82.393383,POINT (-82.39338300000001 29.726734),GAINESVILLE,FL,32653,10,40,2,5,1079
06006-032-048-1,06006-032-048,2019,05127 NW 78TH  PL,29.726198,-82.397966,POINT (-82.397966 29.726198),GAINESVILLE,FL,32653,10,40,2,5,1079
06006-068-173-1,06006-068-173,2019,04742 NW 80TH  RD,29.727842,-82.394033,POINT (-82.394033 29.727842),GAINESVILLE,FL,32653,10,40,2,5,1079
12549-002-000-1,12549-002-000,2019,01234 NE 6TH  AVE,29.657096,-82.309504,POINT (-82.309504 29.657096),GAINESVILLE,FL,32601,1,13,4,2,772
06400-057-000-1,06400-057-000,2019,03468 NW 11TH  AVE,29.662669,-82.374595,POINT (-82.374595 29.662669),GAINESVILLE,FL,32605,5,35,3,6,770
06083-004-031-1,06083-004-031,2019,03215 NW 52ND  PL,29.702387,-82.369972,POINT (-82.369972 29.702387),GAINESVILLE,FL,32605,5,17,2,7,770
10600-078-000-1,10600-078-000,2019,00906 NE 9TH  AVE,29.660071,-82.314494,POINT (-82.31449400000001 29.660071000000002),GAINESVILLE,FL,32601,1,13,4,2,772
10600-078-000-2,10600-078-000,2019,00906 NE 9TH  AVE,29.660071,-82.314494,POINT (-82.31449400000001 29.660071000000002),GAINESVILLE,FL,32601,1,13,4,2,772
06067-020-068-1,06067-020-068,2019,04437 NW 36TH  ST,29.695756,-82.376195,POINT (-82.376195 29.695755999999996),GAINESVILLE,FL,32605,5,17,2,7,770
06377-010-008-1,06377-010-008,2019,01003 NW 50TH  TER,29.661307,-82.396479,POINT (-82.396479 29.661307),GAINESVILLE,FL,32605,5,35,3,6,770
06006-621-042-1,06006-621-042,2019,04864 NW 75TH  RD,29.724293,-82.395062,POINT (-82.395062 29.724293),GAINESVILLE,FL,32653,10,40,2,5,1079
06482-045-000-1,06482-045-000,2019,00611 NW 34TH  DR,29.656823,-82.374045,POINT (-82.374045 29.656823000000003),GAINESVILLE,FL,32607,7,27,3,6,768
06484-059-000-1,06484-059-000,2019,00402 NW 36TH  TER,29.654622,-82.377444,POINT (-82.377444 29.654622),GAINESVILLE,FL,32607,7,27,3,6,768
06484-075-000-1,06484-075-000,2019,00217 NW 36TH  DR,29.65383,-82.378257,POINT (-82.378257 29.65383),GAINESVILLE,FL,32607,7,27,3,6,768
06015-020-064-1,06015-020-064,2019,03530 NW 54TH  LN,29.705048,-82.375754,POINT (-82.375754 29.705048),GAINESVILLE,FL,32653,10,37,2,5,1079
06105-055-000-1,06105-055-000,2019,03635 NW 25TH  AVE,29.676616,-82.377945,POINT (-82.377945 29.676616000000003),GAINESVILLE,FL,32605,5,8,3,7,770
06522-004-000-1,06522-004-000,2019,03736 SW 4TH  PL,29.648161,-82.380004,POINT (-82.380004 29.648160999999998),GAINESVILLE,FL,32607,7,33,3,6,768
06483-012-000-1,06483-012-000,2019,00531 NW 34TH  ST,29.656001,-82.372406,POINT (-82.372406 29.656001),GAINESVILLE,FL,32607,7,16,3,6,768
06015-220-051-1,06015-220-051,2019,03416 NW 62ND  PL,29.711262,-82.372938,POINT (-82.372938 29.711261999999998),GAINESVILLE,FL,32653,10,37,2,5,1079
06009-010-003-1,06009-010-003,2019,04444 NW 82ND  RD,29.728878,-82.39127,POINT (-82.39127 29.728877999999998),GAINESVILLE,FL,32653,10,40,2,5,1079
06432-056-000-1,06432-056-000,2019,01303 NW 30TH  ST,29.664214,-82.367189,POINT (-82.367189 29.664214),GAINESVILLE,FL,32605,5,16,3,6,770
06006-066-142-1,06006-066-142,2019,07865 NW 47TH  WAY,29.726844,-82.393383,POINT (-82.39338300000001 29.726844000000003),GAINESVILLE,FL,32653,10,40,2,5,1079
06444-005-000-1,06444-005-000,2019,02317 W UNIVERSITY  AVE,29.652118,-82.357108,POINT (-82.357108 29.652118000000005),GAINESVILLE,FL,32607,7,16,3,6,768
06444-014-000-1,06444-014-000,2019,00004 SW 23RD  ST,29.651896,-82.356457,POINT (-82.356457 29.651896000000004),GAINESVILLE,FL,32607,7,16,3,6,768
06014-010-078-1,06014-010-078,2019,02807 NW 54TH  AVE,29.704342,-82.364094,POINT (-82.364094 29.704342000000004),GAINESVILLE,FL,32653,10,37,2,7,1079
15103-000-000-1,15103-000-000,2019,02115 NW 3RD  PL,29.654448,-82.35205,POINT (-82.35205 29.654448),GAINESVILLE,FL,32603,3,16,4,6,771
14195-001-000-1,14195-001-000,2019,00608 NW 1ST  ST,29.657053,-82.325865,POINT (-82.325865 29.657053),GAINESVILLE,FL,32601,1,13,1,1,772
08484-001-001-1,08484-001-001,2019,00612 NW 33RD  AVE,29.683243,-82.331276,POINT (-82.331276 29.683243000000004),GAINESVILLE,FL,32609,4,3,2,4,766
12570-002-000-1,12570-002-000,2019,00601 NE 10TH  ST,29.657093,-82.313234,POINT (-82.313234 29.657093),GAINESVILLE,FL,32601,1,13,4,2,772
10435-000-000-1,10435-000-000,2019,00737 NE 11TH  AVE,29.66222,-82.316259,POINT (-82.316259 29.662219999999998),GAINESVILLE,FL,32601,1,13,4,2,772
06680-101-037-1,06680-101-037,2019,00908 SW 51ST  WAY,29.644351,-82.398121,POINT (-82.398121 29.644350999999997),GAINESVILLE,FL,32607,7,33,3,12,768
06067-010-009-1,06067-010-009,2019,04518 NW 34TH  TER,29.696303,-82.372917,POINT (-82.372917 29.696303000000004),GAINESVILLE,FL,32605,5,17,2,7,770
06572-012-047-1,06572-012-047,2019,00247 NW 48TH  BLVD,29.654727,-82.394513,POINT (-82.394513 29.654727),GAINESVILLE,FL,32607,7,33,3,6,768
11807-000-000-1,11807-000-000,2019,00501 SE 14TH  ST,29.647079,-82.307248,POINT (-82.307248 29.647079),GAINESVILLE,FL,32641,9,5,1,2,1082
10625-054-000-1,10625-054-000,2019,02103 NE 15TH  TER,29.672374,-82.30492,POINT (-82.30492 29.672374000000005),GAINESVILLE,FL,32609,4,12,1,2,766
12663-000-000-1,12663-000-000,2019,01130 SE 7TH  AVE,29.645781,-82.311153,POINT (-82.31115300000002 29.645780999999996),GAINESVILLE,FL,32641,9,5,1,1,1082
15600-005-000-1,15600-005-000,2019,01040 SW 11TH  TER,29.641751,-82.336886,POINT (-82.336886 29.641750999999996),GAINESVILLE,FL,32601,1,11,1,1,772
05979-152-000-1,05979-152-000,2019,8959 NW 37TH  CIR,,,,GAINESVILLE,FL,32653,,,,,
15281-000-000-1,15281-000-000,2019,01815 NW 7TH  AVE,29.657579,-82.346638,POINT (-82.34663800000001 29.657579000000002),GAINESVILLE,FL,32603,3,16,4,1,771
06074-002-001-1,06074-002-001,2019,04157 NW 37TH  DR,29.692122,-82.379584,POINT (-82.379584 29.692122000000005),GAINESVILLE,FL,32605,5,17,2,7,770
07891-030-240-1,07891-030-240,2019,02266 NW 52ND  PL,29.702683,-82.354845,POINT (-82.354845 29.702683),GAINESVILLE,FL,32605,5,18,2,7,770
15771-001-000-1,15771-001-000,2019,01016 SE 9TH  AVE,29.643413,-82.313127,POINT (-82.313127 29.643413),GAINESVILLE,FL,32601,1,5,1,1,772
06083-010-073-1,06083-010-073,2019,03330 NW 45TH  AVE,29.695941,-82.371958,POINT (-82.371958 29.695941000000005),GAINESVILLE,FL,32605,5,18,2,7,770
06006-621-041-1,06006-621-041,2019,04854 NW 75TH  RD,29.724295,-82.394955,POINT (-82.394955 29.724295),GAINESVILLE,FL,32653,10,40,2,5,1079
06014-001-047-1,06014-001-047,2019,02356 NW 54TH  BLVD,29.705565,-82.357347,POINT (-82.357347 29.705565),GAINESVILLE,FL,32653,10,18,2,7,1079
08876-019-000-1,08876-019-000,2019,01948 NW 33RD  AVE,29.683393,-82.349263,POINT (-82.349263 29.683393),GAINESVILLE,FL,32605,5,9,2,4,770
08876-019-000-2,08876-019-000,2019,01948 NW 33RD  AVE,29.683393,-82.349263,POINT (-82.349263 29.683393),GAINESVILLE,FL,32605,5,9,2,4,770
06067-050-255-1,06067-050-255,2019,04344 NW 34TH  DR,29.694289,-82.37387,POINT (-82.37387 29.694289000000005),GAINESVILLE,FL,32605,5,17,2,7,770
06446-001-000-1,06446-001-000,2019,00434 NW 25TH  ST,29.65571,-82.360505,POINT (-82.360505 29.655710000000003),GAINESVILLE,FL,32607,7,16,3,6,768
08879-008-000-1,08879-008-000,2019,01913 NW 35TH  AVE,29.684791,-82.347947,POINT (-82.347947 29.684791),GAINESVILLE,FL,32605,5,9,2,4,770
06460-020-000-1,06460-020-000,2019,02721 SW 2ND  AVE,29.650421,-82.363246,POINT (-82.363246 29.650421000000005),GAINESVILLE,FL,32607,7,16,3,6,768
06460-025-000-1,06460-025-000,2019,02721 SW 3RD  PL,29.649597,-82.363333,POINT (-82.363333 29.649597000000004),GAINESVILLE,FL,32607,7,16,3,6,768
06091-010-037-1,06091-010-037,2019,02504 NW 37TH  PL,29.687176,-82.358861,POINT (-82.358861 29.687176),GAINESVILLE,FL,32605,5,18,2,7,770
06486-008-000-1,06486-008-000,2019,00741 NW 36TH  ST,29.659129,-82.376439,POINT (-82.376439 29.659129000000004),GAINESVILLE,FL,32607,7,27,3,6,768
09612-011-000-1,09612-011-000,2019,00820 NW 10TH  AVE,29.661168,-82.333509,POINT (-82.333509 29.661168),GAINESVILLE,FL,32601,1,2,4,1,772
06091-100-009-1,06091-100-009,2019,03824 NW 27TH  ST,29.687862,-82.362161,POINT (-82.362161 29.687862),GAINESVILLE,FL,32605,5,18,2,7,770
06006-067-210-1,06006-067-210,2019,07960 NW 50TH  WAY,29.727612,-82.395664,POINT (-82.395664 29.727612),GAINESVILLE,FL,32653,10,40,2,5,1079
06083-002-036-1,06083-002-036,2019,04911 NW 29TH  ST,29.69998,-82.365167,POINT (-82.365167 29.69998),GAINESVILLE,FL,32605,5,18,2,7,770
12484-000-000-1,12484-000-000,2019,00929 NE 7TH  AVE,29.65785,-82.313667,POINT (-82.313667 29.657850000000003),GAINESVILLE,FL,32601,1,13,4,2,772
06091-010-017-1,06091-010-017,2019,03608 NW 25TH  TER,29.685723,-82.359505,POINT (-82.35950500000001 29.685723),GAINESVILLE,FL,32605,5,18,2,7,770
09792-009-000-1,09792-009-000,2019,00221 NW 14TH  AVE,29.664795,-82.327407,POINT (-82.327407 29.664795),GAINESVILLE,FL,32601,1,2,4,1,772
06422-002-005-1,06422-002-005,2019,01620 NW 23RD  ST,29.667305,-82.355766,POINT (-82.355766 29.667305),GAINESVILLE,FL,32605,5,8,2,4,770
08986-008-000-1,08986-008-000,2019,03502 NW 18TH  TER,29.685327,-82.346504,POINT (-82.346504 29.685327),GAINESVILLE,FL,32605,5,9,2,4,770
15955-000-000-1,15955-000-000,2019,1410 SE 2ND  ST,29.63532,-82.31887,POINT (-82.31887 29.63532),GAINESVILLE,FL,32601,1,5,1,1,772
11185-010-000-1,11185-010-000,2019,00420 NE 19TH  DR,29.655264,-82.299557,POINT (-82.299557 29.655264000000003),GAINESVILLE,FL,32641,9,14,1,2,1082
06014-011-054-1,06014-011-054,2019,03127 NW 57TH  PL,29.707496,-82.36889,POINT (-82.36889 29.707496),GAINESVILLE,FL,32653,10,37,2,7,1079
07931-003-015-1,07931-003-015,2019,01947 NW 39TH  PL,29.689128,-82.348938,POINT (-82.348938 29.689127999999997),GAINESVILLE,FL,32605,5,9,2,4,770
09018-065-000-1,09018-065-000,2019,01805 NW 22ND  ST,29.668778,-82.352515,POINT (-82.352515 29.668778000000003),GAINESVILLE,FL,32605,5,8,2,4,770
09226-002-000-1,09226-002-000,2019,02150 NW 8TH  AVE,29.659442,-82.353071,POINT (-82.353071 29.659442000000002),GAINESVILLE,FL,32603,3,16,4,6,771
09232-001-000-1,09232-001-000,2019,00811 NW 20TH  ST,29.659797,-82.349293,POINT (-82.349293 29.659796999999998),GAINESVILLE,FL,32603,3,16,4,4,771
15136-004-000-1,15136-004-000,2019,00204 NW 21ST  TER,29.653687,-82.352177,POINT (-82.352177 29.653686999999998),GAINESVILLE,FL,32603,3,16,4,6,771
15313-000-000-1,15313-000-000,2019,01627 NW 8TH  AVE,29.659408,-82.344058,POINT (-82.344058 29.659408),GAINESVILLE,FL,32603,3,16,4,1,771
15381-000-000-1,15381-000-000,2019,00609 NW 19TH  ST,29.656944,-82.34781,POINT (-82.34781 29.656944000000003),GAINESVILLE,FL,32603,3,16,4,6,771
15069-000-000-1,15069-000-000,2019,00324 NW 19TH  ST,29.654691,-82.347814,POINT (-82.347814 29.654691),GAINESVILLE,FL,32603,3,16,4,6,771
15352-000-000-1,15352-000-000,2019,01530 NW 6TH  AVE,29.656663,-82.34284,POINT (-82.34284 29.656663000000005),GAINESVILLE,FL,32603,3,16,4,1,771
07930-016-000-1,07930-016-000,2019,04120 NW 19TH  TER,29.690735,-82.348427,POINT (-82.348427 29.690735000000004),GAINESVILLE,FL,32605,5,9,2,4,770
06006-067-233-1,06006-067-233,2019,05050 NW 80TH  RD,29.727858,-82.396294,POINT (-82.396294 29.727857999999998),GAINESVILLE,FL,32653,10,40,2,5,1079
06579-052-013-1,06579-052-013,2019,00570 NW 50TH  BLVD,29.657492,-82.396402,POINT (-82.396402 29.657492),GAINESVILLE,FL,32607,7,33,3,6,768
06574-049-039-1,06574-049-039,2019,04939 NW 2ND  PL,29.65477,-82.395349,POINT (-82.395349 29.65477),GAINESVILLE,FL,32607,7,33,3,6,768
06102-804-000-1,06102-804-000,2019,03436 NW 37TH  AVE,29.687799,-82.372766,POINT (-82.372766 29.687799),GAINESVILLE,FL,32605,5,8,3,7,770
06484-090-000-1,06484-090-000,2019,00107 NW 36TH  TER,29.653019,-82.377444,POINT (-82.377444 29.653019000000004),GAINESVILLE,FL,32607,7,27,3,6,768
15335-000-000-1,15335-000-000,2019,01536 NW 7TH  AVE,29.657548,-82.343007,POINT (-82.343007 29.657548),GAINESVILLE,FL,32603,3,16,4,1,771
06579-055-082-1,06579-055-082,2019,05060 NW 1ST  PL,29.653418,-82.397151,POINT (-82.397151 29.653418),GAINESVILLE,FL,32607,7,33,3,6,768
06579-055-085-1,06579-055-085,2019,05075 NW 1ST  PL,29.653126,-82.397021,POINT (-82.397021 29.653126),GAINESVILLE,FL,32607,7,33,3,6,768
08203-082-000-1,08203-082-000,2019,02913 NE 14TH  ST,29.679346,-82.30675,POINT (-82.30675 29.679346000000002),GAINESVILLE,FL,32609,4,12,1,2,766
06067-030-128-1,06067-030-128,2019,03716 NW 43RD  PL,29.693661,-82.378296,POINT (-82.378296 29.693661000000002),GAINESVILLE,FL,32605,5,17,2,7,770
07891-020-114-1,07891-020-114,2019,04945 NW 20TH  DR,29.700482,-82.35064,POINT (-82.35064 29.700482),GAINESVILLE,FL,32653,5,18,2,7,770
06067-030-147-1,06067-030-147,2019,04240 NW 36TH  DR,29.69285,-82.377749,POINT (-82.377749 29.69285),GAINESVILLE,FL,32605,5,17,2,7,770
06400-095-000-1,06400-095-000,2019,03405 NW 10TH  AVE,29.661763,-82.372715,POINT (-82.372715 29.661763),GAINESVILLE,FL,32605,5,35,3,6,770
06071-020-012-1,06071-020-012,2019,04910 NW 39TH  TER,29.699925,-82.384347,POINT (-82.384347 29.699925),GAINESVILLE,FL,32606,6,17,2,5,769
07916-010-000-1,07916-010-000,2019,04034 NW 20TH  TER,29.690815,-82.349786,POINT (-82.349786 29.690815),GAINESVILLE,FL,32605,5,9,2,4,770
09912-001-000-1,09912-001-000,2019,00205 NE 10TH  AVE,29.660787,-82.322696,POINT (-82.322696 29.660787000000003),GAINESVILLE,FL,32601,1,13,4,1,772
06402-064-000-1,06402-064-000,2019,00812 NW 36TH  TER,29.66022,-82.377059,POINT (-82.377059 29.66022),GAINESVILLE,FL,32605,5,35,3,6,770
06463-009-000-1,06463-009-000,2019,02842 SW 1ST  AVE,29.651353,-82.365979,POINT (-82.365979 29.651353),GAINESVILLE,FL,32607,7,16,3,6,768
06083-010-039-1,06083-010-039,2019,04531 NW 30TH  ST,29.696646,-82.366725,POINT (-82.366725 29.696646000000005),GAINESVILLE,FL,32605,5,18,2,7,770
09004-050-000-1,09004-050-000,2019,02138 NW 28TH  PL,29.678386,-82.352827,POINT (-82.35282700000002 29.678386000000003),GAINESVILLE,FL,32605,5,8,2,4,770
08552-000-000-1,08552-000-000,2019,00815 NW 32ND  PL,29.68257,-82.333335,POINT (-82.333335 29.682570000000002),GAINESVILLE,FL,32609,4,3,2,4,766
08554-023-000-1,08554-023-000,2019,00930 NW 36TH  AVE,29.685746,-82.334826,POINT (-82.334826 29.685746),GAINESVILLE,FL,32609,4,3,2,4,766
12528-000-000-1,12528-000-000,2019,01028 NE 7TH  AVE,29.657842,-82.312163,POINT (-82.312163 29.657842),GAINESVILLE,FL,32601,1,13,4,2,772
07917-021-000-1,07917-021-000,2019,04215 NW 21ST  DR,29.69271,-82.353106,POINT (-82.353106 29.69271),GAINESVILLE,FL,32605,5,18,2,7,770
08496-000-000-1,08496-000-000,2019,00727 NW 34TH  PL,29.684583,-82.332768,POINT (-82.332768 29.684583000000003),GAINESVILLE,FL,32609,4,3,2,4,766
06397-025-000-1,06397-025-000,2019,01411 NW 40TH  TER,29.665944,-82.38523,POINT (-82.38523 29.665944),GAINESVILLE,FL,32605,5,35,3,6,770
14304-000-000-1,14304-000-000,2019,00510 NW 3RD  ST,29.655933,-82.327953,POINT (-82.327953 29.655933),GAINESVILLE,FL,32601,1,1,1,1,772
06076-500-005-1,06076-500-005,2019,02702 NW 52ND  PL,29.702644,-82.362263,POINT (-82.362263 29.702644),GAINESVILLE,FL,32605,5,18,2,7,770
06077-100-006-1,06077-100-006,2019,02435 NW 45TH  LN,29.696816,-82.357588,POINT (-82.357588 29.696815999999995),GAINESVILLE,FL,32605,5,18,2,7,770
12426-001-000-1,12426-001-000,2019,00711 NE 9TH  ST,29.658065,-82.314794,POINT (-82.314794 29.658065),GAINESVILLE,FL,32601,1,13,4,2,772
06014-023-051-1,06014-023-051,2019,02649 NW 57TH  PL,29.707413,-82.36211,POINT (-82.36211 29.707412999999995),GAINESVILLE,FL,32653,10,37,2,7,1079
07814-010-010-1,07814-010-010,2019,07406 NW 21ST  WAY,29.722324,-82.353295,POINT (-82.353295 29.722324),GAINESVILLE,FL,32653,10,31,2,7,1079
15106-000-000-1,15106-000-000,2019,02205 NW 1ST  AVE,29.652857,-82.353901,POINT (-82.353901 29.652857),GAINESVILLE,FL,32603,3,16,4,6,771
08807-000-000-1,08807-000-000,2019,01112 NW 31ST  AVE,29.680888,-82.336204,POINT (-82.336204 29.680888),GAINESVILLE,FL,32609,4,3,2,4,766
06460-042-000-1,06460-042-000,2019,00334 SW 26TH  ST,29.648581,-82.361718,POINT (-82.36171800000001 29.648581),GAINESVILLE,FL,32607,7,16,3,6,768
12303-000-000-1,12303-000-000,2019,00510 NE 8TH  AVE,29.659225,-82.319561,POINT (-82.319561 29.659225000000003),GAINESVILLE,FL,32601,1,13,4,2,772
15171-000-000-1,15171-000-000,2019,00202 NW 20TH  TER,29.653539,-82.349911,POINT (-82.349911 29.653539),GAINESVILLE,FL,32603,3,16,4,6,771
06680-101-005-1,06680-101-005,2019,00848 SW 50TH  WAY,29.644173,-82.396625,POINT (-82.396625 29.644173000000002),GAINESVILLE,FL,32607,7,33,3,12,768
06067-050-273-1,06067-050-273,2019,04317 NW 34TH  DR,29.693644,-82.373853,POINT (-82.373853 29.693644),GAINESVILLE,FL,32605,5,17,2,7,770
15065-000-000-1,15065-000-000,2019,01922 NW 4TH  AVE,29.654875,-82.34851,POINT (-82.34851 29.654875),GAINESVILLE,FL,32603,3,16,4,6,771
15064-000-000-1,15064-000-000,2019,01930 NW 4TH  AVE,29.654876,-82.348838,POINT (-82.348838 29.654875999999998),GAINESVILLE,FL,32603,3,16,4,6,771
08964-060-020-1,08964-060-020,2019,01635 NW 34TH  AVE,29.683911,-82.343989,POINT (-82.343989 29.683911),GAINESVILLE,FL,32605,5,9,2,4,770
08202-031-000-1,08202-031-000,2019,03004 NE 11TH  DR,29.680482,-82.312115,POINT (-82.312115 29.680482),GAINESVILLE,FL,32609,4,12,1,2,766
08874-009-002-1,08874-009-002,2019,03220 NW 20TH  ST,29.682991,-82.349485,POINT (-82.349485 29.682991),GAINESVILLE,FL,32605,5,9,2,4,770
10082-007-000-1,10082-007-000,2019,01425 NE 7TH  TER,29.665406,-82.316524,POINT (-82.316524 29.665406),GAINESVILLE,FL,32601,1,13,4,2,772
10246-002-000-1,10246-002-000,2019,02224 NE 7TH  ST,29.673567,-82.31739,POINT (-82.31739 29.673567000000002),GAINESVILLE,FL,32609,4,12,2,2,766
06017-013-036-1,06017-013-036,2019,03760 NW 56TH  PL,29.706486,-82.380154,POINT (-82.380154 29.706486),GAINESVILLE,FL,32653,10,37,2,5,1079
06014-025-001-1,06014-025-001,2019,06101 NW 30TH  TER,29.710488,-82.367228,POINT (-82.367228 29.710488000000005),GAINESVILLE,FL,32653,10,37,2,7,1079
06102-704-000-1,06102-704-000,2019,03446 NW 37TH  AVE,29.688081,-82.372879,POINT (-82.372879 29.688081),GAINESVILLE,FL,32605,5,8,3,7,770
10617-024-000-1,10617-024-000,2019,01422 NE 20TH  AVE,29.670694,-82.30677,POINT (-82.30677 29.670694),GAINESVILLE,FL,32609,4,12,1,2,766
10600-073-000-1,10600-073-000,2019,01024 NE 9TH  AVE,29.660073,-82.312531,POINT (-82.312531 29.660073),GAINESVILLE,FL,32601,1,13,4,2,772
10600-087-000-1,10600-087-000,2019,00927 NE 9TH  AVE,29.660091,-82.31378,POINT (-82.31378 29.660091000000005),GAINESVILLE,FL,32601,1,13,4,2,772
12489-000-000-1,12489-000-000,2019,00914 NE 6TH  AVE,29.657143,-82.314228,POINT (-82.31422800000001 29.657143),GAINESVILLE,FL,32601,1,13,4,2,772
06460-029-001-1,06460-029-001,2019,00330 SW 27TH  ST,29.648722,-82.362783,POINT (-82.362783 29.648722),GAINESVILLE,FL,32607,7,16,3,6,768
