Parcel Unit,Parcel Number,Landlord License Year,Parcel Address,Latitude,Longitude,Location,Parcel City,Location (state),Location (zip),Zip Code Boundaries,2010 Census Tracts,Commission Districts,Gainesville Police Districts,Florida Census Zip Codes
06006-066-134-1,06006-066-134,2019,04823 NW 79TH  RD,29.726935,-82.394532,POINT (-82.394532 29.726935),GAINESVILLE,FL,32653,10,40,2,5,1079
06020-020-008-1,06020-020-008,2019,04201 NW 60TH  AVE,29.70997,-82.387123,POINT (-82.387123 29.70997),GAINESVILLE,FL,32653,10,37,2,5,1079
10257-000-000-1,10257-000-000,2019,01206 NE 3RD  ST,29.663178,-82.322066,POINT (-82.322066 29.663177999999995),GAINESVILLE,FL,32601,1,13,4,2,772
06015-220-039-1,06015-220-039,2019,06235 NW 35TH  ST,29.71199,-82.3743,POINT (-82.3743 29.711990000000004),GAINESVILLE,FL,32653,10,37,2,5,1079
06393-010-001-1,06393-010-001,2019,01817 NW 43RD  ST,29.669227,-82.388993,POINT (-82.388993 29.669227000000003),GAINESVILLE,FL,32605,5,35,3,6,770
06393-010-002-1,06393-010-002,2019,01813 NW 43RD  ST,29.669254,-82.388994,POINT (-82.388994 29.669254000000002),GAINESVILLE,FL,32605,5,35,3,6,770
06393-010-003-1,06393-010-003,2019,01809 NW 43RD  ST,29.668982,-82.388993,POINT (-82.388993 29.668982),GAINESVILLE,FL,32605,5,35,3,6,770
09823-000-000-1,09823-000-000,2014,00204 NW 15TH  AVE,29.665706,-82.326885,POINT (-82.326885 29.665706),GAINESVILLE,FL,32601,1,2,4,1,772
08520-000-000-1,08520-000-000,2019,00725 NW 33RD  AVE,29.683246,-82.332616,POINT (-82.332616 29.683246000000004),GAINESVILLE,FL,32609,4,3,2,4,766
06484-102-000-1,06484-102-000,2019,00008 NW 36TH  ST,29.652166,-82.376626,POINT (-82.376626 29.652166),GAINESVILLE,FL,32607,7,27,3,6,768
06461-005-000-1,06461-005-000,2019,00071 SW 32ND  ST,29.651644,-82.369789,POINT (-82.369789 29.651644),GAINESVILLE,FL,32607,7,16,3,6,768
06393-010-005-1,06393-010-005,2019,01803 NW 43RD  ST,29.668678,-82.388997,POINT (-82.388997 29.668678),GAINESVILLE,FL,32605,5,35,3,6,770
06067-010-027-1,06067-010-027,2019,04438 NW 34TH  DR,29.695652,-82.373813,POINT (-82.373813 29.695652),GAINESVILLE,FL,32605,5,17,2,7,770
06577-023-035-1,06577-023-035,2019,00335 NW 50TH  BLVD,29.655049,-82.396197,POINT (-82.396197 29.655049),GAINESVILLE,FL,32607,7,33,3,6,768
06015-004-087-1,06015-004-087,2019,06739 NW 34TH  TER,29.717008,-82.372654,POINT (-82.372654 29.717007999999996),GAINESVILLE,FL,32653,10,37,2,5,1079
06017-013-023-1,06017-013-023,2019,03721 NW 56TH  LN,29.707131,-82.37939,POINT (-82.37939000000001 29.707131),GAINESVILLE,FL,32653,10,37,2,5,1079
11477-001-001-1,11477-001-001,2019,00211 NE 17TH  ST,29.653535,-82.303019,POINT (-82.303019 29.653535),GAINESVILLE,FL,32641,9,14,1,2,1082
06083-009-030-1,06083-009-030,2019,04735 NW 29TH  TER,29.698601,-82.365828,POINT (-82.365828 29.698601),GAINESVILLE,FL,32605,5,18,2,7,770
08231-005-055-1,08231-005-055,2019,03719 NE 13TH  ST,29.687128,-82.309519,POINT (-82.309519 29.687128),GAINESVILLE,FL,32609,4,12,1,2,766
08203-043-000-1,08203-043-000,2014,03002 NE 14TH  ST,29.680235,-82.306741,POINT (-82.306741 29.680235),GAINESVILLE,FL,32609,4,12,1,2,766
09338-000-000-1,09338-000-000,2019,02021 NW 7TH  TER,29.671694,-82.332434,POINT (-82.332434 29.671694),GAINESVILLE,FL,32609,4,2,4,4,766
