state,county,geoid,lives
FL,Brevard,12009065234,63.7
FL,Brevard,12009065235,69
FL,Brevard,12009065236,53.2
FL,Brevard,12009066101,52.5
FL,Brevard,12009066103,63
FL,Brevard,12009066104,56.4
FL,Brevard,12009066200,49.9
FL,Brevard,12009066301,48
FL,Brevard,12009066302,48.3
FL,Brevard,12009066400,50.8
FL,Brevard,12009066500,49.6
FL,Brevard,12009066600,50
FL,Brevard,12009066700,46.8
FL,Brevard,12009066800,31
FL,Brevard,12009066900,50
FL,Brevard,12009067100,24.2
FL,Brevard,12009068101,48.3
FL,Brevard,12009068102,53.8
FL,Brevard,12009068200,53.1
FL,Brevard,12009068300,67
FL,Brevard,12009068400,54.9
FL,Brevard,12009068501,53.2
FL,Brevard,12009068502,49.1
FL,Brevard,12009068601,49.8
FL,Brevard,12009068602,52.1
FL,Brevard,12009069100,48.3
FL,Brevard,12009069200,50
FL,Brevard,12009069300,48.7
FL,Brevard,12009069400,49
FL,Brevard,12009069700,43.9
FL,Brevard,12009069801,49.4
FL,Brevard,12009069802,44.5
FL,Brevard,12009069901,47.9
FL,Brevard,12009069902,44.6
FL,Brevard,12009071100,58.7
FL,Brevard,12009071200,42.1
FL,Brevard,12009071301,47.2
FL,Brevard,12009071322,36
FL,Brevard,12009071332,32.4
FL,Brevard,12009071334,38.5
FL,Brevard,12009071335,46.6
FL,Brevard,12009071336,45.6
FL,Brevard,12009071337,38.8
FL,Brevard,12009071338,38.9
FL,Brevard,12009071339,37.6
FL,Brevard,12009071340,39.4
FL,Brevard,12009071400,49.3
FL,Brevard,12009071500,52.5
FL,Brevard,12009071600,47.5
FL,Brevard,12009980000,45.5
FL,Broward,12011010102,45.6
FL,Broward,12011010103,50.2
FL,Broward,12011010104,54.5
FL,Broward,12011010200,41.4
FL,Broward,12011010304,36.3
FL,Broward,12011010305,32.3
FL,Broward,12011010306,40.1
FL,Broward,12011010307,35.2
FL,Broward,12011010308,50.7
FL,Broward,12011010401,40.4
FL,Broward,12011010402,62
FL,Broward,12011010403,75.7
FL,Broward,12011010405,35.3
FL,Broward,12011010406,36.5
FL,Broward,12011010407,46.8
FL,Broward,12011010502,37.1
FL,Broward,12011010503,39.2
FL,Broward,12011010504,38.6
FL,Broward,12011010601,42.4
FL,Broward,12011010603,40.2
FL,Broward,12011010604,38.2
FL,Broward,12011010605,40.4
FL,Broward,12011010606,33.5
FL,Broward,12011010607,34.2
FL,Broward,12011010609,36
FL,Broward,12011010610,38
FL,Broward,12011010611,38
FL,Broward,12011010612,36.8
FL,Broward,12011010701,37.2
FL,Broward,12011010702,35.1
FL,Broward,12011010800,36.1
FL,Broward,12011010901,51
FL,Broward,12011010902,50.8
FL,Broward,12011011000,67.4
FL,Broward,12011020101,36.8
FL,Broward,12011020103,36.7
FL,Broward,12011020104,39.3
FL,Broward,12011020204,43.4
FL,Broward,12011020205,40.1
FL,Broward,12011020206,36.7
FL,Broward,12011020207,54.3
FL,Broward,12011020209,36.5
FL,Broward,12011020210,42.7
FL,Broward,12011020211,54.9
FL,Broward,12011020212,61.9
FL,Broward,12011020302,34.8
FL,Broward,12011020308,30
FL,Broward,12011020309,35.3
FL,Broward,12011020311,37
FL,Broward,12011020312,33.7
FL,Broward,12011020313,32.7
FL,Broward,12011020314,39.4
FL,Broward,12011020315,38.2
FL,Broward,12011020316,34.1
FL,Broward,12011020317,38.5
FL,Broward,12011020318,39.7
FL,Broward,12011020319,39.7
FL,Broward,12011020320,38.4
FL,Broward,12011020321,42.7
FL,Broward,12011020322,40.6
FL,Broward,12011020323,33.2
FL,Broward,12011020324,36.9
FL,Broward,12011020325,35.4
FL,Broward,12011020326,29.4
FL,Broward,12011020404,31.9
FL,Broward,12011020405,29.9
FL,Broward,12011020406,41.5
FL,Broward,12011020407,32.1
FL,Broward,12011020409,67.2
FL,Broward,12011020411,47.1
FL,Broward,12011020412,26.4
FL,Broward,12011020413,29.4
FL,Broward,12011020414,41.8
FL,Broward,12011020415,51.7
FL,Broward,12011020501,35.1
FL,Broward,12011020502,31.8
FL,Broward,12011030100,47.9
FL,Broward,12011030201,39.8
FL,Broward,12011030202,39
FL,Broward,12011030203,36.5
FL,Broward,12011030301,29.6
FL,Broward,12011030302,39.7
FL,Broward,12011030401,38.2
FL,Broward,12011030402,29.9
FL,Broward,12011030500,28.4
FL,Broward,12011030600,33
FL,Broward,12011030702,36.6
FL,Broward,12011030703,51.9
FL,Broward,12011030704,58.5
FL,Broward,12011030705,80.7
FL,Broward,12011030801,34
FL,Broward,12011030802,54
FL,Broward,12011030902,45.7
FL,Broward,12011030903,39.3
FL,Broward,12011030904,48.6
FL,Broward,12011031001,42.5
FL,Broward,12011031002,45.7
FL,Broward,12011031101,50.4
FL,Broward,12011031102,49
FL,Broward,12011031202,62.7
FL,Broward,12011031203,66.4
FL,Broward,12011031204,62.8
FL,Broward,12011031205,57.3
FL,Broward,12011040101,56.9
FL,Broward,12011040102,57.9
FL,Broward,12011040203,51.9
FL,Broward,12011040204,50.3
FL,Broward,12011040205,45.5
FL,Broward,12011040206,47.2
FL,Broward,12011040300,45
FL,Broward,12011040401,56
FL,Broward,12011040402,49.6
FL,Broward,12011040502,53.7
FL,Broward,12011040503,67.1
FL,Broward,12011040504,66.9
FL,Broward,12011040601,49.3
FL,Broward,12011040602,46.9
FL,Broward,12011040701,44.9
FL,Broward,12011040702,42.6
FL,Broward,12011040801,35.8
FL,Broward,12011040802,38.5
FL,Broward,12011040901,35.3
FL,Broward,12011040902,35.9
FL,Broward,12011041000,32.3
FL,Broward,12011041100,31.8
FL,Broward,12011041200,29.8
FL,Broward,12011041300,38.5
FL,Broward,12011041400,31.7
FL,Broward,12011041500,26.6
FL,Broward,12011041600,29.8
FL,Broward,12011041700,33.7
FL,Broward,12011041801,40.4
FL,Broward,12011041802,44.5
FL,Broward,12011041900,42.3
FL,Broward,12011042000,53
FL,Broward,12011042100,54.8
FL,Broward,12011042200,61.9
FL,Broward,12011042301,47
FL,Broward,12011042302,43.9
FL,Broward,12011042400,44.2
FL,Broward,12011042500,32.9
FL,Broward,12011042600,41.6
FL,Broward,12011042700,39.3
FL,Broward,12011042800,33.8
FL,Broward,12011042900,33.7
FL,Broward,12011043001,49.8
FL,Broward,12011043002,35.7
FL,Broward,12011043100,41
FL,Broward,12011043301,43
FL,Broward,12011043302,36.5
FL,Broward,12011050100,35
FL,Broward,12011050204,38.7
FL,Broward,12011050205,62.5
FL,Broward,12011050206,47.5
FL,Broward,12011050207,38.6
FL,Broward,12011050208,36.2
FL,Broward,12011050301,33.9
FL,Broward,12011050306,30.7
FL,Broward,12011050307,35.4
FL,Broward,12011050308,29.5
FL,Broward,12011050309,29.4
FL,Broward,12011050310,57.7
FL,Broward,12011050311,48.1
FL,Broward,12011050312,55.6
FL,Broward,12011050401,36.6
FL,Broward,12011050402,43.9
FL,Broward,12011050501,40.5
FL,Broward,12011050502,38.3
FL,Broward,12011050601,46.5
FL,Broward,12011050602,42.4
FL,Broward,12011050701,38.9
FL,Broward,12011050702,32.1
FL,Broward,12011050800,36.2
FL,Broward,12011050900,44.4
FL,Broward,12011051001,48
FL,Broward,12011051002,51
FL,Broward,12011060105,37.9
FL,Broward,12011060107,44.4
FL,Broward,12011060109,57.5
FL,Broward,12011060111,41.6
FL,Broward,12011060112,48.5
FL,Broward,12011060113,37.6
FL,Broward,12011060114,37.5
FL,Broward,12011060115,32.6
FL,Broward,12011060116,35.6
FL,Broward,12011060117,33.5
FL,Broward,12011060118,38.4
FL,Broward,12011060119,38
FL,Broward,12011060120,35.5
FL,Broward,12011060121,41.9
FL,Broward,12011060122,34.1
FL,Broward,12011060123,47.8
FL,Broward,12011060124,38.2
FL,Broward,12011060125,37.1
FL,Broward,12011060126,41.7
FL,Broward,12011060127,36.8
FL,Broward,12011060128,38.9
FL,Broward,12011060203,32.8
FL,Broward,12011060206,46.2
FL,Broward,12011060207,56.8
FL,Broward,12011060208,30.7
FL,Broward,12011060209,35.8
FL,Broward,12011060210,38.1
FL,Broward,12011060211,70.4
FL,Broward,12011060212,36.9
FL,Broward,12011060213,65.8
FL,Broward,12011060302,29.3
FL,Broward,12011060303,27.1
FL,Broward,12011060304,27.7
FL,Broward,12011060305,33.9
FL,Broward,12011060306,54.8
FL,Broward,12011060401,40.4
FL,Broward,12011060402,31.2
FL,Broward,12011060403,37.6
FL,Broward,12011060501,37.8
FL,Broward,12011060503,38.5
FL,Broward,12011060504,44.4
FL,Broward,12011060505,55.5
FL,Broward,12011060603,35.7
FL,Broward,12011060605,32.3
FL,Broward,12011060606,39.2
FL,Broward,12011060607,44.9
FL,Broward,12011060608,38.4
FL,Broward,12011060609,34.4
FL,Broward,12011060700,43.4
FL,Broward,12011060801,40.8
FL,Broward,12011060802,33.8
FL,Broward,12011060900,44
FL,Broward,12011061001,46.7
FL,Broward,12011061002,39
FL,Broward,12011061100,32.8
FL,Broward,12011070101,32.8
FL,Broward,12011070102,41.5
FL,Broward,12011070204,26.5
FL,Broward,12011070205,39.7
FL,Broward,12011070207,47.9
FL,Broward,12011070208,40.7
FL,Broward,12011070209,41.8
FL,Broward,12011070210,49.8
