genus,natural_newborn_avg,csect_newborn_avg,natural_newborn_cnt,csect_newborn_cnt,natural_4m_avg,csect_4m_avg,natural_4m_cnt,csect_4m_cnt,natural_12m_avg,csect_12m_avg,natural_12m_cnt,csect_12m_cnt,natural_mom_avg,csect_mom_avg,natural_mom_cnt,csect_mom_cnt
Pseudomonas,0.0000000000,0.0000000000,0,0,0.0000019597,0.0000000000,2,0,0.0000012324,0.0000027499,1,1,0.0001160352,0.0000000000,3,0
Pseudoxanthomonas,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000019207,0.0000000000,1,0
Rahnella,0.0000000000,0.0000000000,0,0,0.0000082544,0.0000000000,1,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Roseburia,0.0000067920,0.0000000000,4,0,0.0004323152,0.0002879112,14,3,0.0521570343,0.0541109429,77,14,0.0284213865,0.0233678073,83,14
Rothia,0.0020759555,0.0045853498,43,11,0.0008942013,0.0001819064,40,9,0.0000946184,0.0000622757,29,5,0.0001045330,0.0007177017,40,6
Ruminococcaceae,0.0000000000,0.0000000000,0,0,0.0000271513,0.0000424793,10,4,0.0004956478,0.0014390071,73,15,0.0014208678,0.0020271208,83,14
Ruminococcus,0.0182560423,0.0000052998,22,2,0.0457956196,0.0885808492,49,10,0.1288604431,0.1452612808,83,15,0.0837718252,0.0724011136,83,15
Salmonella,0.0000860322,0.0000000000,1,0,0.0000071750,0.0000000000,3,0,0.0000022573,0.0000000000,1,0,0.0000000000,0.0000000000,0,0
Serratia,0.0000033946,0.0000000000,1,0,0.0000003361,0.0000000000,1,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Slackia,0.0000000000,0.0000000000,0,0,0.0000008899,0.0000000000,3,0,0.0000092043,0.0000057653,4,2,0.0000015672,0.0000155450,3,1
Sodalis,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Staphylococcus,0.0155273860,0.0610534677,61,13,0.0007639504,0.0003272262,51,15,0.0000382965,0.0002569550,21,5,0.0000152579,0.0001389385,11,4
Stenotrophomonas,0.0000000000,0.0000000000,0,0,0.0000004222,0.0000034414,1,1,0.0000019048,0.0000000000,1,0,0.0001230761,0.0000000000,1,0
