year,state,species,pounds,dollars,tons
2003,Rhode Island,"COD, ATLANTIC",152833,165304,76.4165
2003,Rhode Island,"COD, ATLANTIC",271997,247436,135.9985
2003,Rhode Island,"COD, ATLANTIC",29136,24767,14.568
2003,Rhode Island,"COD, ATLANTIC",26351,23442,13.1755
2002,Maine,"COD, ATLANTIC",1183403,1399820,591.7015
2002,Maine,"COD, ATLANTIC",86,60,0.043
2002,Maine,"COD, ATLANTIC",44246,40681,22.123
2002,Maine,"COD, ATLANTIC",1676231,1763194,838.1155
2002,Massachusetts,"COD, ATLANTIC",3863595,3451997,1931.7975
2002,Massachusetts,"COD, ATLANTIC",5938382,6708962,2969.191
2002,Massachusetts,"COD, ATLANTIC",13786860,14648166,6893.43
2002,Massachusetts,"COD, ATLANTIC",49175,34522,24.5875
2002,Massachusetts,"COD, ATLANTIC",190994,151855,95.497
2002,New Hampshire,"COD, ATLANTIC",18835,11575,9.4175
2002,New Hampshire,"COD, ATLANTIC",862013,1133961,431.0065
2002,New Hampshire,"COD, ATLANTIC",687319,821194,343.6595
2002,New Hampshire,"COD, ATLANTIC",15316,16367,7.658
2002,Rhode Island,"COD, ATLANTIC",122383,118305,61.1915
2002,Rhode Island,"COD, ATLANTIC",38654,28545,19.327
2002,Rhode Island,"COD, ATLANTIC",1604,733,0.802
2002,Rhode Island,"COD, ATLANTIC",245854,194270,122.927
2002,Rhode Island,"COD, ATLANTIC",119822,107952,59.911
2001,Connecticut,"COD, ATLANTIC",24478,22596,12.239
2001,Connecticut,"COD, ATLANTIC",11832,12540,5.916
2001,Connecticut,"COD, ATLANTIC",757,569,0.3785
2001,Connecticut,"COD, ATLANTIC",172027,142603,86.0135
2001,Maine,"COD, ATLANTIC",173,148,0.0865
2001,Maine,"COD, ATLANTIC",1572091,1602495,786.0455
2001,Maine,"COD, ATLANTIC",117855,101774,58.9275
2001,Maine,"COD, ATLANTIC",1251586,1409842,625.793
2001,Maine,"COD, ATLANTIC",117,140,0.0585
2001,Massachusetts,"COD, ATLANTIC",186174,128599,93.087
2001,Massachusetts,"COD, ATLANTIC",18476,16676,9.238
2001,Massachusetts,"COD, ATLANTIC",5440703,5845944,2720.3515
2001,Massachusetts,"COD, ATLANTIC",15551404,14894680,7775.702
2001,Massachusetts,"COD, ATLANTIC",6242974,5220653,3121.487
2001,New Hampshire,"COD, ATLANTIC",1030431,1075733,515.2155
2001,New Hampshire,"COD, ATLANTIC",848229,855854,424.1145
2001,New Hampshire,"COD, ATLANTIC",65536,62578,32.768
2001,New Hampshire,"COD, ATLANTIC",31399,22940,15.6995
2001,New Jersey,"COD, ATLANTIC",53,70,0.0265
2001,New Jersey,"COD, ATLANTIC",22,32,0.011
2001,Rhode Island,"COD, ATLANTIC",55008,50159,27.504
2001,Rhode Island,"COD, ATLANTIC",38425,32157,19.2125
2001,Rhode Island,"COD, ATLANTIC",247375,217067,123.6875
2001,Rhode Island,"COD, ATLANTIC",1164,694,0.582
2001,Rhode Island,"COD, ATLANTIC",179887,187152,89.9435
2000,Connecticut,"COD, ATLANTIC",79668,82544,39.834
2000,Maine,"COD, ATLANTIC",9791,13510,4.8955
2000,Maine,"COD, ATLANTIC",97235,100545,48.6175
2000,Maine,"COD, ATLANTIC",1541226,1737431,770.613
2000,Maine,"COD, ATLANTIC",953852,1142882,476.926
2000,Massachusetts,"COD, ATLANTIC",11887780,12459092,5943.89
2000,Massachusetts,"COD, ATLANTIC",3742242,3572755,1871.121
2000,Massachusetts,"COD, ATLANTIC",98349,50524,49.1745
2000,Massachusetts,"COD, ATLANTIC",4072023,4570152,2036.0115
2000,Massachusetts,"COD, ATLANTIC",13678,11774,6.839
2000,New Hampshire,"COD, ATLANTIC",696005,693880,348.0025
2000,New Hampshire,"COD, ATLANTIC",941719,1010309,470.8595
2000,New Hampshire,"COD, ATLANTIC",34231,15949,17.1155
2000,New Hampshire,"COD, ATLANTIC",84375,86989,42.1875
2000,New Jersey,"COD, ATLANTIC",140,150,0.07
2000,New Jersey,"COD, ATLANTIC",140,191,0.07
2000,Rhode Island,"COD, ATLANTIC",414884,402955,207.442
2000,Rhode Island,"COD, ATLANTIC",240924,251987,120.462
2000,Rhode Island,"COD, ATLANTIC",386,435,0.193
2000,Rhode Island,"COD, ATLANTIC",28056,25658,14.028
2000,Rhode Island,"COD, ATLANTIC",43798,44399,21.899
1999,Connecticut,"COD, ATLANTIC",48498,40944,24.249
1999,Maine,"COD, ATLANTIC",837020,964826,418.51
1999,Maine,"COD, ATLANTIC",509,492,0.2545
1999,Maine,"COD, ATLANTIC",87250,89077,43.625
1999,Maine,"COD, ATLANTIC",648804,797283,324.402
1999,Maryland,"COD, ATLANTIC",42,19,0.021
1999,Massachusetts,"COD, ATLANTIC",4095742,4651131,2047.871
1999,Massachusetts,"COD, ATLANTIC",10370474,11592887,5185.237
1999,Massachusetts,"COD, ATLANTIC",4074147,4531776,2037.0735
1999,Massachusetts,"COD, ATLANTIC",121659,75260,60.8295
1999,Massachusetts,"COD, ATLANTIC",12631,12914,6.3155
1999,New Hampshire,"COD, ATLANTIC",30970,25393,15.485
1999,New Hampshire,"COD, ATLANTIC",110477,132914,55.2385
1999,New Hampshire,"COD, ATLANTIC",204289,233490,102.1445
1999,New Hampshire,"COD, ATLANTIC",4246,2347,2.123
1999,New Jersey,"COD, ATLANTIC",29,31,0.0145
1999,New Jersey,"COD, ATLANTIC",12,16,0.006
1999,New Jersey,"COD, ATLANTIC",105,110,0.0525
1999,New Jersey,"COD, ATLANTIC",555,675,0.2775
1999,Rhode Island,"COD, ATLANTIC",43473,32951,21.7365
1999,Rhode Island,"COD, ATLANTIC",266000,255237,133.0
1999,Rhode Island,"COD, ATLANTIC",399,248,0.1995
1999,Rhode Island,"COD, ATLANTIC",17662,18588,8.831
1999,Rhode Island,"COD, ATLANTIC",341415,315239,170.7075
1998,Connecticut,"COD, ATLANTIC",116653,76074,58.3265
1998,Maine,"COD, ATLANTIC",1776,1686,0.888
1998,Maine,"COD, ATLANTIC",128073,124947,64.0365
1998,Maine,"COD, ATLANTIC",861557,960973,430.7785
1998,Maine,"COD, ATLANTIC",1408589,1495359,704.2945
1998,Massachusetts,"COD, ATLANTIC",5106794,5054069,2553.397
1998,Massachusetts,"COD, ATLANTIC",15494,13776,7.747
1998,Massachusetts,"COD, ATLANTIC",4287513,4510815,2143.7565
1998,Massachusetts,"COD, ATLANTIC",10413833,11120228,5206.9165
1998,Massachusetts,"COD, ATLANTIC",179800,104121,89.9
1998,New Hampshire,"COD, ATLANTIC",59673,30207,29.8365
1998,New Hampshire,"COD, ATLANTIC",437511,483374,218.7555
1998,New Hampshire,"COD, ATLANTIC",858320,908427,429.16
1998,New Hampshire,"COD, ATLANTIC",135251,127937,67.6255
1998,New Jersey,"COD, ATLANTIC",455,534,0.2275
1998,Rhode Island,"COD, ATLANTIC",2094,1543,1.047
1998,Rhode Island,"COD, ATLANTIC",187203,152139,93.6015
1998,Rhode Island,"COD, ATLANTIC",186992,164450,93.496
1998,Rhode Island,"COD, ATLANTIC",33434,24317,16.717
1998,Rhode Island,"COD, ATLANTIC",5748,6630,2.874
1997,Connecticut,"COD, ATLANTIC",20843,13499,10.4215
1997,Maine,"COD, ATLANTIC",2410,1357,1.205
1997,Maine,"COD, ATLANTIC",1013539,961371,506.7695
1997,Maine,"COD, ATLANTIC",2650923,2204913,1325.4615
1997,Maine,"COD, ATLANTIC",316744,245627,158.372
1997,Maryland,"COD, ATLANTIC",25,22,0.0125
1997,Massachusetts,"COD, ATLANTIC",4719298,3990066,2359.649
1997,Massachusetts,"COD, ATLANTIC",264225,115263,132.1125
1997,Massachusetts,"COD, ATLANTIC",4907924,4209995,2453.962
1997,Massachusetts,"COD, ATLANTIC",12162437,10663968,6081.2185
1997,Massachusetts,"COD, ATLANTIC",24599,19120,12.2995
1997,New Hampshire,"COD, ATLANTIC",101328,44395,50.664
1997,New Hampshire,"COD, ATLANTIC",207262,154522,103.631
1997,New Hampshire,"COD, ATLANTIC",384183,334743,192.0915
1997,New Hampshire,"COD, ATLANTIC",1310398,1102281,655.199
1997,New Jersey,"COD, ATLANTIC",210,234,0.105
1997,New Jersey,"COD, ATLANTIC",18,26,0.009
1997,Rhode Island,"COD, ATLANTIC",69697,36972,34.8485
1997,Rhode Island,"COD, ATLANTIC",113139,81135,56.5695
1997,Rhode Island,"COD, ATLANTIC",263216,181925,131.608
1997,Rhode Island,"COD, ATLANTIC",28337,18629,14.1685
1997,Rhode Island,"COD, ATLANTIC",519,572,0.2595
1996,Connecticut,"COD, ATLANTIC",22279,14769,11.1395
