year,state,species,pounds,dollars,tons
1988,Massachusetts,"COD, ATLANTIC",28324700,16805736,14162.35
1988,Massachusetts,"COD, ATLANTIC",17620600,9251123,8810.3
1988,Massachusetts,"COD, ATLANTIC",1411400,707136,705.7
1988,Massachusetts,"COD, ATLANTIC",263900,149429,131.95
1988,Massachusetts,"COD, ATLANTIC",13618300,8118803,6809.15
1988,New Hampshire,"COD, ATLANTIC",239400,82786,119.7
1988,New Hampshire,"COD, ATLANTIC",418000,213678,209.0
1988,New Hampshire,"COD, ATLANTIC",821400,487748,410.7
1988,New Hampshire,"COD, ATLANTIC",19800,12939,9.9
1988,New Hampshire,"COD, ATLANTIC",1461500,833694,730.75
1988,New Jersey,"COD, ATLANTIC",13100,8080,6.55
1988,New Jersey,"COD, ATLANTIC",700,295,0.35
1988,New Jersey,"COD, ATLANTIC",900,373,0.45
1988,New Jersey,"COD, ATLANTIC",200,64,0.1
1988,Rhode Island,"COD, ATLANTIC",2800,899,1.4
1988,Rhode Island,"COD, ATLANTIC",852600,437684,426.3
1988,Rhode Island,"COD, ATLANTIC",1563700,850440,781.85
1988,Rhode Island,"COD, ATLANTIC",537900,260284,268.95
1988,Rhode Island,"COD, ATLANTIC",52300,28506,26.15
