state,county,geoid,distance,age
FL,Alachua,12001000200,63.67868583,21.7
FL,Alachua,12001000301,63.24740078,27.4
FL,Alachua,12001000302,62.88200531,34.8
FL,Alachua,12001000400,61.68828104,32.2
FL,Alachua,12001000500,62.61734468,33.3
FL,Alachua,12001000600,60.99866776,28.7
FL,Alachua,12001000700,61.59631189,37.9
FL,Alachua,12001000806,63.85140651,23.4
FL,Alachua,12001000808,64.1640196,24.4
FL,Alachua,12001000809,65.00553453,31.1
FL,Alachua,12001000901,65.01478799,20
FL,Alachua,12001000902,64.4586005,19.5
FL,Alachua,12001001000,64.79712974,23.6
FL,Alachua,12001001100,65.19055712,48.7
FL,Alachua,12001001201,65.30406238,41
FL,Alachua,12001001202,64.40406896,34.1
FL,Alachua,12001001203,63.68949023,28.6
FL,Alachua,12001001400,59.51975958,33.8
FL,Alachua,12001001514,65.78596867,24
FL,Alachua,12001001515,65.91873146,22.1
FL,Alachua,12001001516,65.84627896,23.6
FL,Alachua,12001001517,66.33104604,23.3
FL,Alachua,12001001519,66.97721367,21.9
FL,Alachua,12001001520,66.84164166,22.6
FL,Alachua,12001001521,67.01675836,23.5
FL,Alachua,12001001603,66.40491341,25
FL,Alachua,12001001604,67.17370181,23.2
FL,Alachua,12001001701,68.10603697,34.3
FL,Alachua,12001001702,67.03830813,47.8
FL,Alachua,12001001801,70.87113753,43.4
FL,Alachua,12001001802,66.17049988,42.5
FL,Alachua,12001001803,65.10052913,40.7
FL,Alachua,12001001805,70.02159324,43
FL,Alachua,12001001806,76.7830476,40.4
FL,Alachua,12001001811,67.90614558,36.7
FL,Alachua,12001001813,67.53359316,46.3
FL,Alachua,12001001814,67.74200541,44
FL,Alachua,12001001902,60.15957121,31.2
FL,Alachua,12001001907,52.40040226,48.5
FL,Alachua,12001001908,58.85485388,43.9
FL,Alachua,12001002000,53.48164965,47
FL,Alachua,12001002101,62.03359752,51.8
FL,Alachua,12001002102,68.56679862,51.6
FL,Alachua,12001002201,75.40911884,39.6
FL,Alachua,12001002202,75.91445207,44.1
FL,Alachua,12001002204,71.72850612,37.8
FL,Alachua,12001002205,71.31718325,41.5
FL,Alachua,12001002207,69.36090541,42.6
FL,Alachua,12001002208,70.78148858,45.2
FL,Alachua,12001002209,74.48119604,37.4
FL,Alachua,12001002210,81.78400886,37.5
