year,state,species,pounds,dollars
2002,Rhode Island,"COD, ATLANTIC",122383,118305
2002,Rhode Island,"COD, ATLANTIC",38654,28545
2002,Rhode Island,"COD, ATLANTIC",1604,733
2002,Rhode Island,"COD, ATLANTIC",245854,194270
2002,Rhode Island,"COD, ATLANTIC",119822,107952
2001,Connecticut,"COD, ATLANTIC",24478,22596
2001,Connecticut,"COD, ATLANTIC",11832,12540
2001,Connecticut,"COD, ATLANTIC",757,569
2001,Connecticut,"COD, ATLANTIC",172027,142603
2001,Maine,"COD, ATLANTIC",173,148
2001,Maine,"COD, ATLANTIC",1572091,1602495
2001,Maine,"COD, ATLANTIC",117855,101774
2001,Maine,"COD, ATLANTIC",1251586,1409842
2001,Maine,"COD, ATLANTIC",117,140
2001,Massachusetts,"COD, ATLANTIC",186174,128599
2001,Massachusetts,"COD, ATLANTIC",18476,16676
2001,Massachusetts,"COD, ATLANTIC",5440703,5845944
2001,Massachusetts,"COD, ATLANTIC",15551404,14894680
2001,Massachusetts,"COD, ATLANTIC",6242974,5220653
2001,New Hampshire,"COD, ATLANTIC",1030431,1075733
2001,New Hampshire,"COD, ATLANTIC",848229,855854
2001,New Hampshire,"COD, ATLANTIC",65536,62578
2001,New Hampshire,"COD, ATLANTIC",31399,22940
2001,New Jersey,"COD, ATLANTIC",53,70
2001,New Jersey,"COD, ATLANTIC",22,32
2001,Rhode Island,"COD, ATLANTIC",55008,50159
2001,Rhode Island,"COD, ATLANTIC",38425,32157
2001,Rhode Island,"COD, ATLANTIC",247375,217067
2001,Rhode Island,"COD, ATLANTIC",1164,694
2001,Rhode Island,"COD, ATLANTIC",179887,187152
2000,Connecticut,"COD, ATLANTIC",79668,82544
2000,Maine,"COD, ATLANTIC",9791,13510
2000,Maine,"COD, ATLANTIC",97235,100545
2000,Maine,"COD, ATLANTIC",1541226,1737431
2000,Maine,"COD, ATLANTIC",953852,1142882
2000,Massachusetts,"COD, ATLANTIC",11887780,12459092
2000,Massachusetts,"COD, ATLANTIC",3742242,3572755
2000,Massachusetts,"COD, ATLANTIC",98349,50524
2000,Massachusetts,"COD, ATLANTIC",4072023,4570152
2000,Massachusetts,"COD, ATLANTIC",13678,11774
2000,New Hampshire,"COD, ATLANTIC",696005,693880
2000,New Hampshire,"COD, ATLANTIC",941719,1010309
2000,New Hampshire,"COD, ATLANTIC",34231,15949
2000,New Hampshire,"COD, ATLANTIC",84375,86989
2000,New Jersey,"COD, ATLANTIC",140,150
2000,New Jersey,"COD, ATLANTIC",140,191
2000,Rhode Island,"COD, ATLANTIC",414884,402955
2000,Rhode Island,"COD, ATLANTIC",240924,251987
2000,Rhode Island,"COD, ATLANTIC",386,435
2000,Rhode Island,"COD, ATLANTIC",28056,25658
2000,Rhode Island,"COD, ATLANTIC",43798,44399
1999,Connecticut,"COD, ATLANTIC",48498,40944
1999,Maine,"COD, ATLANTIC",837020,964826
1999,Maine,"COD, ATLANTIC",509,492
