USPS,GEOID,County,POP10,HU10,Num_Female,Num_Male,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,LAT_Youth,LONG_Youth,Distance,Actual_Age,Age_Bias_98,Age_bias_65,Age_bias_45
FL,12009060200,Brevard,5538,2390,2850,2688,15174915,3425852,5.859,1.323,28.6243981,-80.8622486,29.906891,-81.314962,92.46295879,48,46.4,47,47.2
FL,12009060300,Brevard,4783,2279,2431,2352,10646395,2293949,4.111,0.886,28.6494466,-80.8396216,29.906891,-81.314962,91.23605515,44.5,46.5,45.8,45.5
FL,12009060400,Brevard,4163,2085,2149,2014,6822914,2770135,2.634,1.07,28.6259706,-80.821844,29.906891,-81.314962,93.11083519,46.8,46.4,46.5,46.6
FL,12009060500,Brevard,4609,2264,2382,2227,7876065,46549,3.041,0.018,28.617037,-80.8445467,29.906891,-81.314962,93.2676643,45.8,46.4,46.2,46.1
FL,12009060600,Brevard,5103,2499,2693,2410,6744887,45099,2.604,0.017,28.5926379,-80.8387255,29.906891,-81.314962,94.97635617,41.4,46.2,44.4,43.8
FL,12009060700,Brevard,3232,1824,1717,1515,2208374,0,0.853,0,28.607458,-80.8143548,29.906891,-81.314962,94.4642705,31.3,46.3,40.7,38.8
FL,12009061001,Brevard,4382,2504,2288,2094,3861625,7646,1.491,0.003,28.5764187,-80.8136254,29.906891,-81.314962,96.50704196,45.8,46.1,46,45.9
FL,12009061002,Brevard,3176,1577,1634,1542,2090888,0,0.807,0,28.5626358,-80.814187,29.906891,-81.314962,97.39881215,43.6,46,45.1,44.8
FL,12009061100,Brevard,5983,2937,3188,2795,8580888,39904,3.313,0.015,28.5614548,-80.8334348,29.906891,-81.314962,97.12165077,49.6,46,47.4,47.8
FL,12009061201,Brevard,6650,3164,3470,3180,13613693,6714933,5.256,2.593,28.5454344,-80.8011982,29.906891,-81.314962,98.77002054,42.3,45.9,44.5,44.1
FL,12009061202,Brevard,3870,1943,1835,2035,33683169,8556646,13.005,3.304,28.5135602,-80.799806,29.906891,-81.314962,100.8835991,48.2,45.8,46.7,47
FL,12009062103,Brevard,7917,3309,3985,3932,28223760,276935,10.897,0.107,28.403737,-80.770828,29.906891,-81.314962,108.6250391,46.3,45.6,45.9,46
FL,12009062104,Brevard,6989,2739,3480,3509,12851953,100106,4.962,0.039,28.4575088,-80.8128882,29.906891,-81.314962,104.3318482,40.3,45.7,43.7,43
FL,12009062106,Brevard,3271,1700,1653,1618,3720303,4253500,1.436,1.642,28.4801178,-80.7695867,29.906891,-81.314962,103.6443426,46.2,45.8,45.9,46
FL,12009062107,Brevard,3307,1632,1625,1682,6575322,8047503,2.539,3.107,28.4149031,-80.7501254,29.906891,-81.314962,108.2799898,47.4,45.6,46.3,46.5
FL,12009062108,Brevard,6626,2615,3326,3300,5113915,0,1.974,0,28.4802703,-80.7931936,29.906891,-81.314962,103.1895847,39.9,45.8,43.6,42.8
FL,12009062109,Brevard,6736,1514,2058,4678,11169445,0,4.313,0,28.4536614,-80.7850991,29.906891,-81.314962,105.0851067,27.4,45.7,38.9,36.6
FL,12009062301,Brevard,3483,1668,1834,1649,2690331,14427,1.039,0.006,28.3668822,-80.745015,29.906891,-81.314962,111.5205574,33.4,45.5,41,39.4
FL,12009062302,Brevard,2977,1663,1594,1383,2856127,0,1.103,0,28.383467,-80.7493318,29.906891,-81.314962,110.3529195,38,45.6,42.7,41.8
FL,12009062400,Brevard,6983,3160,3607,3376,11992062,335702,4.63,0.13,28.3775641,-80.7646447,29.906891,-81.314962,110.4573876,34.3,45.6,41.3,39.9
FL,12009062500,Brevard,4167,2136,2163,2004,21202044,5704219,8.186,2.202,28.350042,-80.8005341,29.906891,-81.314962,111.6433957,47.6,45.5,46.3,46.5
FL,12009062600,Brevard,3239,1411,1623,1616,2562519,0,0.989,0,28.3545876,-80.7441816,29.906891,-81.314962,112.3421692,34.7,45.5,41.4,40.1
FL,12009062800,Brevard,3737,1978,1951,1786,7192540,9092125,2.777,3.51,28.2680461,-80.6893695,29.906891,-81.314962,119.0439719,51.8,45.2,47.7,48.5
FL,12009062900,Brevard,4894,2281,2576,2318,9601200,0,3.707,0,28.3391113,-80.7528063,29.906891,-81.314962,113.199923,42.3,45.4,44.3,43.9
FL,12009063000,Brevard,4157,1712,2149,2008,7926160,30499,3.06,0.012,28.3094559,-80.7548778,29.906891,-81.314962,115.1139576,39.2,45.4,43.1,42.3
FL,12009063102,Brevard,7886,3806,4157,3729,12641138,39954,4.881,0.015,28.2753422,-80.7117996,29.906891,-81.314962,118.1412749,44,45.3,44.8,44.6
FL,12009063104,Brevard,3480,1502,1795,1685,6579809,0,2.54,0,28.3056584,-80.7194981,29.906891,-81.314962,116.0104123,43.3,45.3,44.6,44.3
FL,12009063105,Brevard,8789,3653,4573,4216,5981356,0,2.309,0,28.3162072,-80.7328158,29.906891,-81.314962,115.0705654,42.2,45.4,44.2,43.8
FL,12009063106,Brevard,4072,1710,2106,1966,3247875,40268,1.254,0.016,28.2503863,-80.7193963,29.906891,-81.314962,119.639097,41,45.2,43.6,43.1
FL,12009063107,Brevard,9032,4605,4865,4167,11620378,210110,4.487,0.081,28.2477274,-80.6983488,29.906891,-81.314962,120.202877,53.7,45.2,48.4,49.4
FL,12009064102,Brevard,5363,2187,2735,2628,7372640,0,2.847,0,28.1734963,-80.6844723,29.906891,-81.314962,125.3292975,45.7,45.1,45.3,45.4
FL,12009064123,Brevard,6243,3439,3332,2911,3457457,65352,1.335,0.025,28.1504665,-80.6560399,29.906891,-81.314962,127.3703415,42.6,44.9,44.1,43.8
FL,12009064124,Brevard,4414,2074,2243,2171,5175217,0,1.998,0,28.1672261,-80.6602769,29.906891,-81.314962,126.1930531,44.7,45,44.9,44.9
FL,12009064125,Brevard,5286,2386,2672,2614,8069880,0,3.116,0,28.1352119,-80.6902217,29.906891,-81.314962,127.741609,45.8,44.9,45.3,45.4
FL,12009064126,Brevard,4170,1832,2107,2063,7310582,6713,2.823,0.003,28.1606774,-80.6906538,29.906891,-81.314962,126.0584728,45.6,45,45.2,45.3
FL,12009064127,Brevard,7083,3311,3589,3494,11448705,5904405,4.42,2.28,28.1965542,-80.6663093,29.906891,-81.314962,124.1595768,49.1,45.1,46.6,47.1
FL,12009064128,Brevard,10923,4833,5717,5206,13871251,213707,5.356,0.083,28.2213265,-80.7107375,29.906891,-81.314962,121.706632,47.1,45.2,45.9,46.1
FL,12009064201,Brevard,2316,1327,1169,1147,2715256,3352906,1.048,1.295,28.1225503,-80.6243433,29.906891,-81.314962,129.8042133,45.4,44.8,45,45.1
FL,12009064202,Brevard,2791,1841,1395,1396,2816775,5116373,1.088,1.975,28.1424746,-80.6318257,29.906891,-81.314962,128.3581763,46.9,44.9,45.6,45.9
FL,12009064301,Brevard,5292,2832,2723,2569,3878840,0,1.498,0,28.1394718,-80.6580984,29.906891,-81.314962,128.0515085,40.6,44.9,43.3,42.8
FL,12009064302,Brevard,5710,2722,2893,2817,3907595,139786,1.509,0.054,28.1316551,-80.6435376,29.906891,-81.314962,128.839035,39.3,44.8,42.8,42.1
FL,12009064400,Brevard,4920,2208,2485,2435,2880670,0,1.112,0,28.1177219,-80.6555996,29.906891,-81.314962,129.5238376,43.6,44.8,44.4,44.2
FL,12009064500,Brevard,4131,2038,2071,2060,2282270,24212,0.881,0.009,28.1254308,-80.667246,29.906891,-81.314962,128.8021392,41.9,44.9,43.7,43.4
FL,12009064601,Brevard,7173,3526,3811,3362,11114711,0,4.291,0,28.0887688,-80.6805518,29.906891,-81.314962,130.9727062,48.9,44.7,46.3,46.8
FL,12009064602,Brevard,2018,1139,1096,922,9302420,215381,3.592,0.083,28.1110411,-80.6819059,29.906891,-81.314962,129.4817403,55.8,44.8,48.9,50.3
FL,12009064700,Brevard,4135,2599,2160,1975,16748755,0,6.467,0,28.0968585,-80.6408095,29.906891,-81.314962,131.168381,53.6,44.7,48.1,49.2
FL,12009064800,Brevard,2838,1624,1470,1368,2766697,3958838,1.068,1.529,28.0899886,-80.609145,29.906891,-81.314962,132.2254794,44.5,44.6,44.6,44.6
FL,12009064901,Brevard,6764,2896,3173,3591,5259963,0,2.031,0,28.0642014,-80.6297179,29.906891,-81.314962,133.5164818,34.5,44.6,40.8,39.5
FL,12009064902,Brevard,3300,1984,1791,1509,3450364,1769005,1.332,0.683,28.0699625,-80.6031366,29.906891,-81.314962,133.6494049,46,44.6,45.1,45.3
FL,12009065001,Brevard,2455,1087,1202,1253,7151006,0,2.761,0,28.0684116,-80.6848268,29.906891,-81.314962,132.2396858,45.7,44.6,45,45.2
FL,12009065021,Brevard,9906,4908,5153,4753,9304416,68730,3.592,0.027,28.0545722,-80.6581305,29.906891,-81.314962,133.6253423,41.3,44.6,43.3,42.9
FL,12009065022,Brevard,4758,2311,2467,2291,4992317,0,1.928,0,28.0642232,-80.645912,29.906891,-81.314962,133.213605,47.8,44.6,45.8,46.2
FL,12009065121,Brevard,6262,3440,3350,2912,6395978,2946,2.47,0.001,28.0232022,-80.633569,29.906891,-81.314962,136.1343211,43.4,44.4,44,43.9
FL,12009065122,Brevard,6864,3747,3703,3161,6293059,4469,2.43,0.002,28.0252796,-80.6076275,29.906891,-81.314962,136.4827824,40.1,44.4,42.8,42.2
FL,12009065123,Brevard,3644,2085,1893,1751,7595628,3312313,2.933,1.279,28.0427923,-80.5904944,29.906891,-81.314962,135.6691229,51,44.4,46.9,47.7
FL,12009065124,Brevard,2486,1315,1413,1073,3256694,0,1.257,0,28.0573044,-80.6106708,29.906891,-81.314962,134.3300773,41,44.5,43.2,42.8
